16,0.0023833,0.00277288
16,0.00234346,0.00242755
16,0.0024169,0.00245628
16,0.00300939,0.00273139
16,0.00712647,0.00412993
16,0.0291382,0.0151074
16,0.116282,0.0818707
16,0.524968,0.576125
16,2.46193,5.38548
32,0.0022583,0.00240817
32,0.0024703,0.0025162
32,0.0023448,0.00247455
32,0.00294909,0.00266371
32,0.00704908,0.0042155
32,0.0261889,0.0158734
32,0.11237,0.0829749
32,0.410283,0.648204
32,2.34511,4.72721
64,0.00238028,0.00237076
64,0.00244839,0.00257106
64,0.00256796,0.00240209
64,0.00294309,0.00266092
64,0.00686738,0.00416055
64,0.0209034,0.0125268
64,0.106787,0.0744937
64,0.478265,0.637391
64,1.95981,4.63578
128,0.00366333,0.0024591
128,0.00414579,0.00246708
128,0.0081763,0.00241647
128,0.00886822,0.0027076
128,0.00670667,0.00412729
128,0.0246357,0.0149715
128,0.104734,0.0693809
128,0.492073,0.592588
128,2.24784,4.6205
256,0.0182498,0.002423
256,0.0172812,0.00243628
256,0.0409649,0.00246723
256,0.0424415,0.00270457
256,0.0433657,0.0041908
256,0.0265022,0.0149288
256,0.105145,0.090426
256,0.474213,0.602281
256,2.16601,4.37789
